,img_name,label
0,do@cfZDvy.png,do
1,character@18nwQE.png,character
2,forward@GVc7m3.png,forward
3,hand@giEJOT.png,hand
4,also@FBD2Tr.png,also
5,light@4wL6cK.png,light
6,cold@dDplh6.png,cold
7,air@yi2XPK.png,air
8,community@iIStpN.png,community
9,side@irVTeJ.png,side
10,soon@zZ1gar.png,soon
11,culture@iLuaNx.png,culture
12,after@U2spru.png,after
13,live@0iMoQC.png,live
14,send@ZEc7rf.png,send
15,son@xq4UyL.png,son
16,industry@Smw6KH.png,industry
17,partner@SCmvVI.png,partner
18,certainly@08RvCt.png,certainly
19,already@ixnkQt.png,already
20,during@lBfmer.png,during
21,also@pxoEb1.png,also
22,realize@euOgo4.png,realize
23,according@PD724t.png,according
24,one@u5I4Yi.png,one
25,sport@LEgw5m.png,sport
26,experience@zMiloe.png,experience
27,forget@hp4rtW.png,forget
28,sit@cQSxIM.png,sit
29,low@iULSmw.png,low
30,every@kIbOHP.png,every
31,new@TtGd4B.png,new
32,support@B8UkIW.png,support
33,question@zCxD8X.png,question
34,inside@6VX5PK.png,inside
35,a@AN3Ikm.png,a
36,ground@3BRInO.png,ground
37,visit@Gf9xNz.png,visit
38,subject@8pDy4B.png,subject
39,environmental@8piYc0.png,environmental
40,church@AXkpcT.png,church
41,protect@PoBdfw.png,protect
42,threat@p0QYGZ.png,threat
43,board@8PiWxt.png,board
44,watch@uaBOAs.png,watch
45,name@slRWDS.png,name
46,develop@VxmvhZ.png,develop
47,choice@Ywxs05.png,choice
48,management@K2Pouc.png,management
49,voice@DSnsIh.png,voice
50,group@xcCGTW.png,group
51,politics@m7qlGj.png,politics
52,citizen@R2sWcI.png,citizen
53,speech@RMsJyd.png,speech
54,both@BKaYuA.png,both
55,theory@vpuz9s.png,theory
56,contain@iURSO6.png,contain
57,hand@Hv04Oc.png,hand
58,doctor@MgvTNV.png,doctor
59,meet@FkqVRL.png,meet
60,natural@KFY3wk.png,natural
61,itself@ruGQaY.png,itself
62,catch@x935eA.png,catch
63,consumer@YKVbCu.png,consumer
64,ask@mQPI0K.png,ask
65,national@LjH9GV.png,national
66,head@TvfEa0.png,head
67,deep@CcFymf.png,deep
68,beat@XQulgk.png,beat
69,hope@D9kTGb.png,hope
70,item@3x46og.png,item
71,yeah@T5JRsH.png,yeah
72,make@2sAd7w.png,make
73,card@JceiL1.png,card
74,kind@vXZmTr.png,kind
75,tree@3WtvXF.png,tree
76,positive@OR0f9H.png,positive
77,keep@xBPlNQ.png,keep
78,citizen@Ke1HrZ.png,citizen
79,line@NWHdSo.png,line
80,question@ZuhArp.png,question
81,character@3Mu1EF.png,character
82,position@RZaJDm.png,position
83,participant@xidJOh.png,participant
84,Congress@EIxqwy.png,Congress
85,matter@8utUO3.png,matter
86,face@ibEhU5.png,face
87,ask@uUs0dB.png,ask
88,city@vSldH1.png,city
89,strong@yWhwNU.png,strong
90,contain@dTKqZV.png,contain
91,special@PSQ2VF.png,special
92,best@pKrxag.png,best
93,defense@t5xcd1.png,defense
94,specific@yUWaQC.png,specific
95,note@JCes7V.png,note
96,can@i5BvjS.png,can
97,check@POqJe1.png,check
98,else@dWzA4G.png,else
99,imagine@1GtMcV.png,imagine
100,growth@oCGsZf.png,growth
101,leave@3jY1kT.png,leave
102,information@fQBRTi.png,information
103,kind@HZo4W7.png,kind
104,argue@2oNDLA.png,argue
105,pull@0XGWA5.png,pull
106,my@SOd1so.png,my
107,forward@BHx8QJ.png,forward
108,stock@NyuE0Q.png,stock
109,laugh@06EHIn.png,laugh
110,loss@oujQid.png,loss
111,authority@VSNwMT.png,authority
112,sell@cSLtdg.png,sell
113,represent@0AlJ4q.png,represent
114,oil@GxV9k2.png,oil
115,threat@gLATbd.png,threat
116,teacher@2yIAGq.png,teacher
117,five@TG2aUr.png,five
118,future@Bp3qSj.png,future
119,cup@X3vCDF.png,cup
120,lawyer@WRfno8.png,lawyer
121,model@z8MXKa.png,model
122,state@4ozPW1.png,state
123,as@uw3gkn.png,as
124,nothing@m9ew5n.png,nothing
125,billion@UmOk4K.png,billion
126,policy@8Kitml.png,policy
127,sea@PQrLdt.png,sea
128,well@OCcAJZ.png,well
129,sing@6nUlJh.png,sing
130,growth@6RfJAq.png,growth
131,country@TGAboB.png,country
132,nice@MaTWQ2.png,nice
133,land@H8GOxW.png,land
134,when@GOr7S9.png,when
135,everything@mxwGzc.png,everything
136,traditional@0bpEKQ.png,traditional
137,message@5itwpo.png,message
138,education@iLMvcs.png,education
139,course@ZBtns2.png,course
140,job@q5os7W.png,job
141,simply@7nqgpA.png,simply
142,ten@GD4hdy.png,ten
143,thought@x56Ywe.png,thought
144,cause@XsLZIO.png,cause
145,letter@1qMboV.png,letter
146,maybe@cNzs5A.png,maybe
147,various@mlYiEU.png,various
148,lead@Ghw5bR.png,lead
149,although@Ee5VkX.png,although
150,available@hlmYjI.png,available
151,figure@JsiT89.png,figure
152,walk@h2GgAi.png,walk
153,central@CEHwg6.png,central
154,product@HBmn8y.png,product
155,whole@z7cjmn.png,whole
156,model@Tc4xG8.png,model
157,wife@FJipeY.png,wife
158,possible@pW2o6v.png,possible
159,assume@LUQ5qi.png,assume
160,nature@Inzu7l.png,nature
161,order@qZVybU.png,order
162,list@pmVqh5.png,list
163,father@IW4c8r.png,father
164,own@S6I4f9.png,own
165,together@Q7Dw2o.png,together
166,know@szJWw6.png,know
167,indicate@HOfXC9.png,indicate
168,foreign@KU7ZvA.png,foreign
169,better@EefgnW.png,better
170,opportunity@aihFwD.png,opportunity
171,specific@rZQOm5.png,specific
172,exactly@3uRQMX.png,exactly
173,force@Kl9EO3.png,force
174,woman@vax6iw.png,woman
175,Mr@fW2q79.png,Mr
176,scientist@LJpgbY.png,scientist
177,reality@HUKaiA.png,reality
178,lay@jESHYA.png,lay
179,class@C4Ut5L.png,class
180,admit@gdIoMr.png,admit
181,nature@Z8xMfb.png,nature
182,heavy@1LkX9b.png,heavy
183,determine@PrqNn0.png,determine
184,audience@DLv8fM.png,audience
185,key@0KszYF.png,key
186,election@j9ByZS.png,election
187,accept@td49T6.png,accept
188,kind@wmA4UT.png,kind
189,move@eW2qGz.png,move
190,there@xjOWGA.png,there
191,of@0VUGIk.png,of
192,them@i6mXnH.png,them
193,five@3tJeWo.png,five
194,as@QrmvyO.png,as
195,return@Oqagcy.png,return
196,worry@ZUVR8E.png,worry
197,capital@bAKEud.png,capital
198,feel@vlGps8.png,feel
199,father@Lwr6IY.png,father
200,speech@9as3LR.png,speech
201,against@JSUd82.png,against
202,kid@WlaU9f.png,kid
203,attention@CBT1ti.png,attention
204,identify@GosYAj.png,identify
205,source@GTX5FS.png,source
206,so@a3TXVS.png,so
207,economic@3PgnJQ.png,economic
208,personal@6ls9mf.png,personal
209,why@CcFTz3.png,why
210,any@z8UIoJ.png,any
211,occur@zbo5d8.png,occur
212,lawyer@YkQA0w.png,lawyer
213,popular@9fCwS3.png,popular
214,ball@3AfD7S.png,ball
215,collection@e5G8dg.png,collection
216,however@sfgx8i.png,however
217,most@B0GXey.png,most
218,lay@phj8K1.png,lay
219,give@A72KbE.png,give
220,alone@Lp4roj.png,alone
221,remain@PuydVj.png,remain
222,management@wumnhZ.png,management
223,before@u26yY7.png,before
224,consumer@CvecNz.png,consumer
225,maintain@ORQAHt.png,maintain
226,air@RaxJum.png,air
227,rate@MJw4DV.png,rate
228,find@Ry3BMT.png,find
229,likely@oLSWTl.png,likely
230,write@aAp4ec.png,write
231,since@A04iIj.png,since
232,dinner@KLYwhd.png,dinner
233,fast@6dsplm.png,fast
234,head@0eCjXM.png,head
235,become@iu37Sc.png,become
236,face@7CEO0H.png,face
237,when@vhxVZC.png,when
238,people@jVD8x3.png,people
239,service@81nGgM.png,service
240,gun@lJbIec.png,gun
241,soldier@USdirs.png,soldier
242,court@6Q3MOv.png,court
243,like@OhwuYs.png,like
244,imagine@gxKP50.png,imagine
245,goal@zlOBjA.png,goal
246,child@T24dbh.png,child
247,green@obZRXM.png,green
248,third@q2TQ1F.png,third
249,involve@zW1CNZ.png,involve
250,challenge@Ssa2FU.png,challenge
251,give@KdMemq.png,give
252,TV@GqXLoJ.png,TV
253,hair@24YaPm.png,hair
254,mother@8bKZQG.png,mother
255,war@QJPaAE.png,war
256,government@ew4Ybt.png,government
257,adult@4z7DQF.png,adult
258,age@PlMbY4.png,age
259,admit@uHmGcB.png,admit
260,answer@TLomSC.png,answer
261,close@9Rs8T1.png,close
262,support@49OCJf.png,support
263,recognize@j5oN4M.png,recognize
264,have@eQKLIq.png,have
265,data@wHoesQ.png,data
266,sister@C2ZopY.png,sister
267,process@QUI2Xo.png,process
268,still@AVz9Jp.png,still
269,could@LBMrAu.png,could
270,interview@834QTE.png,interview
271,long@ogDZ6V.png,long
272,support@60JtTl.png,support
273,would@3MEcLY.png,would
274,author@tISGXk.png,author
275,factor@Rpi9tr.png,factor
276,area@dicCs2.png,area
277,sea@zeq3fh.png,sea
278,later@nLSZQR.png,later
279,put@eoHncM.png,put
280,serious@5YWE4G.png,serious
281,agree@oO1r8e.png,agree
282,few@eVgYxj.png,few
283,guy@gEPcl1.png,guy
284,feel@0b6EoJ.png,feel
285,whom@ldpy4B.png,whom
286,nothing@Tv5kJo.png,nothing
287,involve@cHOzsm.png,involve
288,far@KlD89b.png,far
289,government@bfmQLi.png,government
290,politics@mvbAjO.png,politics
291,worry@PenZLM.png,worry
292,close@k2EGOn.png,close
293,PM@OalhID.png,PM
294,however@csZaBS.png,however
295,company@S2gEP6.png,company
296,into@WU8nqj.png,into
297,song@yGh28I.png,song
298,speech@2AlsYu.png,speech
299,executive@A2flSy.png,executive
300,cost@qOLFwV.png,cost
301,black@kKV4My.png,black
302,walk@XygDWo.png,walk
303,dinner@ijNzLX.png,dinner
304,wait@xB3a2Y.png,wait
305,ground@IknzOE.png,ground
306,wish@MyO6q8.png,wish
307,decision@CQSN8K.png,decision
308,relate@udUvFg.png,relate
309,child@9V56oQ.png,child
310,authority@3XgMrd.png,authority
311,mean@npNeER.png,mean
312,material@IMdT1R.png,material
313,anything@VNP16y.png,anything
314,as@L5nhNO.png,as
315,around@Wk1VY0.png,around
316,purpose@SvIjFt.png,purpose
317,character@uKtOHA.png,character
318,on@EmSCPq.png,on
319,system@cdYmn6.png,system
320,sort@WCqp70.png,sort
321,sell@RLmtFh.png,sell
322,hotel@Zz8gDX.png,hotel
323,middle@7xPByS.png,middle
324,fight@FKnuPl.png,fight
325,agency@FoV7KM.png,agency
326,add@3v6Qb1.png,add
327,central@jcfKXM.png,central
328,national@1niOsE.png,national
329,personal@hweBCz.png,personal
330,show@ZK75zp.png,show
331,want@FrYlmB.png,want
332,town@AqiFgT.png,town
333,age@0als1k.png,age
334,truth@x83bnw.png,truth
335,professor@3lFPga.png,professor
336,service@RmM6c7.png,service
337,about@dEgAN1.png,about
338,a@WYPS6D.png,a
339,notice@b5sCpE.png,notice
340,thing@rFwYn6.png,thing
341,myself@sBNlJa.png,myself
342,happen@m593bl.png,happen
343,food@xwct83.png,food
344,food@hsV19B.png,food
345,outside@thT8Mm.png,outside
346,music@B40Cnj.png,music
347,lay@2Olney.png,lay
348,role@qTVHmu.png,role
349,eight@fpAi2P.png,eight
350,sell@b0Xm7x.png,sell
351,course@AZUQsS.png,course
352,himself@xL1kjC.png,himself
353,performance@7v8LNU.png,performance
354,although@3nqh9e.png,although
355,behind@pZg1F6.png,behind
356,close@wWCeE3.png,close
357,consumer@cWLzxZ.png,consumer
358,out@ReZfBc.png,out
359,with@N6TVHE.png,with
360,Democrat@3JobYF.png,Democrat
361,number@1OrW9C.png,number
362,material@fQXezm.png,material
363,media@us4r1b.png,media
364,identify@FJX5fT.png,identify
365,by@x0KDyo.png,by
366,himself@L9JGQr.png,himself
367,already@VEH9Rm.png,already
368,you@eu85Pt.png,you
369,couple@NMTsV1.png,couple
370,garden@F7AOWj.png,garden
371,country@rGA17k.png,country
372,goal@VxlcGd.png,goal
373,difference@m3bgaL.png,difference
374,need@T9xQdC.png,need
375,reduce@M2CU6S.png,reduce
376,wear@TC6Bfb.png,wear
377,year@TpCEYO.png,year
378,mention@02GnUL.png,mention
379,Mr@83dGZI.png,Mr
380,owner@LSXK9B.png,owner
381,carry@jikJ3E.png,carry
382,change@CgrKPX.png,change
383,ten@FZ6SqR.png,ten
384,high@Baw9LI.png,high
385,much@mUnJk0.png,much
386,learn@LakTqZ.png,learn
387,upon@37UVvZ.png,upon
388,exactly@yNDGtK.png,exactly
389,product@lDWAbU.png,product
390,officer@82jywr.png,officer
391,someone@BkM2uU.png,someone
392,stock@QTngM7.png,stock
393,particular@X9TchP.png,particular
394,world@mKucig.png,world
395,TV@aU7W2Q.png,TV
396,executive@B8Pcrw.png,executive
397,tend@nQywvg.png,tend
398,read@TQBA9s.png,read
399,read@z2pi3T.png,read
400,particular@6gPQvj.png,particular
401,where@uxQaAL.png,where
402,agent@HOAePj.png,agent
403,try@vclmXO.png,try
404,pattern@UlyF6r.png,pattern
405,born@9ikjHw.png,born
406,member@CXtTKN.png,member
407,at@4gowXH.png,at
408,chance@O8oihj.png,chance
409,color@HDc02v.png,color
410,green@nx7Xlr.png,green
411,his@Aiwp9m.png,his
412,table@G4Y0SB.png,table
413,according@Sj8uJ7.png,according
414,direction@DmjXrG.png,direction
415,argue@lY5ank.png,argue
416,win@zPiGeY.png,win
417,personal@RLQ2NK.png,personal
418,care@3bLOIz.png,care
419,poor@4uraYl.png,poor
420,over@ZAKj8W.png,over
421,want@ib10CX.png,want
422,current@HQKwsF.png,current
423,particularly@YCSXP6.png,particularly
424,society@8CwZLz.png,society
425,drug@9fv1Nk.png,drug
426,sit@9vzHOY.png,sit
427,check@KjTSbe.png,check
428,truth@RnJUEf.png,truth
429,create@MswEdf.png,create
430,realize@6deSOn.png,realize
431,five@kS1zyA.png,five
432,key@syhYbK.png,key
433,however@TGFvKA.png,however
434,support@ve8mbD.png,support
435,security@p0U5IX.png,security
436,laugh@kNQ4Jd.png,laugh
437,consider@S2dVU3.png,consider
438,lead@S47IA9.png,lead
439,purpose@BOi0go.png,purpose
440,speak@foX69J.png,speak
441,study@gbdIhH.png,study
442,begin@TUBdyY.png,begin
443,them@ZAzuCf.png,them
444,country@lAYPTq.png,country
445,expect@euRWOE.png,expect
446,partner@L796iw.png,partner
447,offer@iAZ1QP.png,offer
448,our@pmPaA4.png,our
449,early@AJjgP2.png,early
450,probably@LYGumD.png,probably
451,same@05y1Dr.png,same
452,lot@Q9V4W8.png,lot
453,quite@nX2rHF.png,quite
454,parent@TnCAez.png,parent
455,pressure@bRQJuT.png,pressure
456,situation@N2GHzR.png,situation
457,oil@MAvfOW.png,oil
458,listen@WLxGg5.png,listen
459,goal@viBzq4.png,goal
460,among@lhZ8mc.png,among
461,politics@4UNw0i.png,politics
462,time@KIPZda.png,time
463,their@HXKtGf.png,their
464,feeling@OADI4R.png,feeling
465,man@9XDfSd.png,man
466,stage@yx6qoa.png,stage
467,learn@dmM652.png,learn
468,final@qTItk0.png,final
469,practice@GqK3MH.png,practice
470,modern@EAQy4k.png,modern
471,it@x0PVXz.png,it
472,here@ZxYIwi.png,here
473,worker@QMaZDA.png,worker
474,hard@xpTJjN.png,hard
475,ready@ZMaEsU.png,ready
476,best@VRiHLb.png,best
477,any@qotnX2.png,any
478,coach@D3tHIv.png,coach
479,image@XcEGyz.png,image
480,someone@lOnLZy.png,someone
481,soon@l0iA8p.png,soon
482,total@3iCcBy.png,total
483,movement@ohMxHc.png,movement
484,keep@KafQ8T.png,keep
485,idea@A5wXOW.png,idea
486,since@Qb0OaU.png,since
487,fly@YSIEBV.png,fly
488,might@h6Iu8P.png,might
489,end@OAToig.png,end
490,as@GESCAl.png,as
491,yes@YDQky4.png,yes
492,yard@6bVIz7.png,yard
493,tell@dqo4kR.png,tell
494,level@tIkCxi.png,level
495,military@jJMKEf.png,military
496,remember@Vo31yT.png,remember
497,us@G7nhxq.png,us
498,include@nKNrP7.png,include
499,choice@Gwhv9E.png,choice
500,culture@BzkEV9.png,culture
501,half@GjrvNe.png,half
502,often@Kv6TGY.png,often
503,skin@BhEXmM.png,skin
504,language@0O6TuP.png,language
505,professor@QdxNOb.png,professor
506,certainly@bOGN6y.png,certainly
507,begin@gDt0iO.png,begin
508,whom@NgTBJ4.png,whom
509,professor@MeIZNP.png,professor
510,hotel@X7rbcO.png,hotel
511,some@NstWSn.png,some
512,part@cC7AJV.png,part
513,state@jOpsib.png,state
514,together@M1Uhux.png,together
515,question@7iv4XV.png,question
516,church@CJQ1jf.png,church
517,whole@Z3Rg0L.png,whole
518,mind@rtxICS.png,mind
519,answer@zb6EuJ.png,answer
520,dream@GPxhdf.png,dream
521,image@J62mqn.png,image
522,firm@IognaT.png,firm
523,after@tiw9bA.png,after
524,carry@k1Qhdx.png,carry
525,reach@REuLsO.png,reach
526,ok@gK86jC.png,ok
527,product@bwtG5q.png,product
528,despite@bVwr4A.png,despite
529,capital@9cv6id.png,capital
530,party@CjRhcl.png,party
531,tend@a9rLHS.png,tend
532,guy@1iyWVN.png,guy
533,source@fQIrLy.png,source
534,else@rnXJyb.png,else
535,political@GrkRD2.png,political
536,weight@CXKB3b.png,weight
537,especially@CJ4T5p.png,especially
538,available@5DCpqf.png,available
539,tax@ouNIXa.png,tax
540,garden@PYeZmk.png,garden
541,production@GbSwe9.png,production
542,shake@JMacdq.png,shake
543,magazine@c5Oyfq.png,magazine
544,any@uJhgb2.png,any
545,issue@vL1Wep.png,issue
546,home@oNaG25.png,home
547,term@X40w1O.png,term
548,throw@Uj43lZ.png,throw
549,analysis@q2oSEZ.png,analysis
550,together@QVimh2.png,together
551,since@85MZS2.png,since
552,put@dfUxOh.png,put
553,office@4ujIek.png,office
554,student@DG90dF.png,student
555,current@mgLjXl.png,current
556,your@ns9yvh.png,your
557,us@o56cuS.png,us
558,east@62jBYy.png,east
559,hour@UShOop.png,hour
560,learn@4rQldT.png,learn
561,break@Gt0Puf.png,break
562,research@wQnebM.png,research
563,base@i9ln3o.png,base
564,thought@za5smB.png,thought
565,wall@kRur4F.png,wall
566,director@raD4hP.png,director
